id_clasificacion;id_clasificacion_dep;descripcion;nivel_clasificacion
70;15;PANALES;3
71;15;PERFUMERIA;3
72;16;ACEITE Y DEPILACION;3
73;16;COSMETICOS;3
74;16;CUIDADO DE LA PIEL;3
75;16;CUIDADO DEL CABELLO;3
76;16;HIGIENE BUCAL;3
77;16;HIGIENE FEMENINA;3
78;16;LIMPIEZA DE CALZADO;3
79;16;PERFUMERIA DE DAMAS;3
80;16;PERFUMERIA DE CABALLEROS;3
81;17;ACCESORIOS DE LIMPIEZA;3
82;17;AROMANTIZANTES DE AMBIENTE;3
83;17;INSECTICIDAS Y VENENOS;3
84;17;LAVANDERIA;3
85;17;LIMPIADORES LIQUIDOS;3
86;17;LIMPIEZA DE COCINA;3
87;17;LIMPIEZA DEL BANO;3
88;18;AVES;3
89;18;GATOS;3
90;18;PERROS;3
91;19;CARNE DE RES Y CERDO;3
92;20;AHUMADO;3
93;20;RELLENO;3
94;20;ROSTIZADO;3
95;21;FRESCO;3
96;21;ROSTIZADO;3
97;22;CONGELADOS;3
98;23;CAMARAS Y VIDEO;3
99;24;DE RECUPERACION;3
100;25;ACCESORIOS PARA MATERNIDAD;3
101;25;MATERIAL DE CURACION;3
102;25;MATERIAL DE CURACION LIQUIDO;3
103;25;POMADAS;3
104;25;TRATAMIENTOS DE PIES;3
105;25;VITAMINAS Y SUPL. ALIMINETICIO;3
106;26;AUTOS;3
107;27;BOTAS;3
108;27;ELECTRICOS;3
109;27;HERRAMIENTAS Y ACCESORIOS;3
110;27;LINTERNAS;3
111;27;LONAS;3
112;27;PINTURAS;3
113;27;TORNILLERIA Y CLAVOS;3
114;28;FRUTAS FRESCAS;3
115;28;PRODUCTOS SECOS;3
116;28;VERDURAS;3
117;29;CHICHARRON;3
118;29;CHORIZO;3
119;29;CHULETA;3
120;29;JAMON;3
121;29;LONGANIZA;3
122;29;MADURADOS;3
123;29;MORTADELA;3
124;29;PATE;3
125;29;PIERNA;3
126;29;QUESO DE PUERCO;3
127;29;SALAMI;3
128;29;SALCHICHA;3
129;29;TOCINO;3
130;30;CREMAS;3
131;30;LACTOBASILOS;3
132;30;LECHES;3
133;30;MANTEQUILLA Y MARGARINAS;3
134;30;POSTRES;3
135;30;QUESOS;3
136;30;YOGHURT;3
137;31;CIGARROS;3
138;32;AMARETO;3
139;32;CREMAS;3
140;32;JARABE;3
141;32;LICOR;3
142;32;ROMPOPE;3
143;33;ANIS;3
144;33;BAJA GRADUACION;3
145;33;BRANDYS;3
146;33;CHAMPAGNE;3
147;33;COCKTAIL;3
148;33;COGNAC;3
149;33;DESTILADOS;3
150;33;GINEBRAS;3
151;33;JEREZ;3
152;33;MEZCAL;3
153;33;PARRAS;3
154;33;RONES;3
155;33;TEQUILAS;3
156;33;VINO;3
157;33;VODKA;3
158;33;WHISKY;3
159;34;OBSOLETOS;3
160;35;ACEITE DE CANOLA;4
161;35;ACEITE DE MAIZ;4
162;35;ACEITE DE OLIVA;4
163;35;ACEITE DE SOYA;4
164;35;ACEITE EN AEROSOL;4
165;35;ACEITE MIXTO;4
166;35;VEGETAL;4
167;35;Toallitas;4
168;36;ADERESOS;4
169;36;MAYONESA LIGHT;4
170;36;MAYONESA REGULAR;4
171;36;MOSTAZA;4
172;36;VINAGRE;4
173;37;CEREALES;4
174;37;COMIDAS;4
175;37;FRUTAS;4
176;37;JUGOS;4
177;37;POSTRES;4
178;38;AGUA;4
